Timestamp,Age,Gender,Employment Status  ,Income Level (per Month) ,How often do you shop for products?,Which platform do you prefer for promotions? ,How often do you purchase products on discount? ,"How often do you wait for a sale before purchasing expensive items(e.g, electronics , fashion items)?","Do you usually plan your purchases around promotional events (e.g., holiday sales, clearance sales)?  ",Do promotions/offers encourage you to buy more than you originally intended?,Have you ever bought a product impulsively due to a discount or promotion?  ,"On average, how much more likely are you to purchase🛒 a product when it’s on sale?  ",Which type of promotions most influences your decision to buy a product?  ,How often do you use coupons or discount codes when shopping online,Do you prefer percentage discounts or fixed amount discounts?  ,How important are discounts when comparing two similar products?   ,Have you ever switched brands because of a discount or promotion?,Which promotional event influences your purchasing the most?,Would you continue purchasing from a brand if they stopped offering discounts?, Do you think discounts lower the perceived quality of a product?,How important are discounts in maintaining your loyalty to a brand? ,Does a brand offering regular promotions increase your trust in that brand?,How much does a discount influence your decision to buy from a specific brand?,"After purchasing a discounted product, how likely are you to return to the brand for full-price purchases?",How much does your perception of a brand change when it frequently offers heavy discounts?,Column 27
02/10/2024 17:15:30,16-25,Female,Student,"Below 30,000",Rarely,Both equally,Often,Always,Sometimes,Yes,Yes,2,Percentage discount,Always,Percentage discount,Somewhat important,No,Online Exclusive Discounts,No,Sometimes,Neutral,Neutral,Somewhat influences,Neutral,Neutral,
02/10/2024 17:22:21,16-25,Female,Student,"Below 30,000",Rarely,Both equally,Often,Sometimes,Sometimes,Yes,Yes,2,Buy-one-get-one free,Often,Percentage discount,Neutral,No,End-of-Season Sales,No,No,Neutral,No,Somewhat influences,Somewhat likely,Positive,
02/10/2024 17:24:08,16-25,Male,Employed,"30,000-59,000",Monthly,Both equally,Often,Sometimes,Yes,No,No,2,Cashback offers,Often,Percentage discount,Very important,No,Diwali Sales,No,No,Neutral,No,Somewhat influences,Somewhat likely,Neutral,
02/10/2024 17:27:18,Under 16,Prefer Not To Say,Student,"Below 30,000",Weekly,Online,Often,Often,No,Sometimes,No,4,Percentage discount,Often,Fixed amount discount,Very important,No,End-of-Season Sales,Maybe,Sometimes,Somewhat important,Neutral,Strongly influences,Somewhat likely,Positive,
02/10/2024 17:29:06,16-25,Female,Student,"Below 30,000",Rarely,Online,Sometimes,Often,Yes,Yes,Yes,2,Percentage discount,Always,Percentage discount,Somewhat important,No,Diwali Sales,Yes,Sometimes,Neutral,Neutral,Somewhat influences,Neutral,Neutral,
02/10/2024 17:30:30,16-25,Male,Employed,"Below 30,000",Rarely,Both equally,Sometimes,Sometimes,Sometimes,No,Yes,1,Percentage discount,Rarely,Percentage discount,Very important,Yes,Diwali Sales,Maybe,No,Neutral,Neutral,Neutral,Neutral,Positive,
02/10/2024 17:36:04,16-25,Female,Student,"Below 30,000",Rarely,Both equally,Rarely,Sometimes,Sometimes,Yes,Yes,2,Buy-one-get-one free,Always,Percentage discount,Neutral,No,End-of-Season Sales,Maybe,Sometimes,Very important,No,Neutral,Neutral,Neutral,
02/10/2024 17:39:16,46 and Above,Female,Unemployed,"Below 30,000",Rarely,Both equally,Always,Sometimes,Yes,Yes,Yes,3,Buy-one-get-one free,Always,Percentage discount,Neutral,Yes,Diwali Sales,Yes,Yes,Somewhat important,Yes,Strongly influences,Very likely,Positive,
02/10/2024 17:39:16,46 and Above,Male,Employed,"60,000-89000",Monthly,Both equally,Always,Sometimes,Yes,Yes,Yes,3,Buy-one-get-one free,Always,Percentage discount,Very important,Yes,Diwali Sales,Yes,Yes,Neutral,Yes,Strongly influences,Very likely,Positive,
02/10/2024 17:47:48,Under 16,Male,Student,"Below 30,000",Monthly,Both equally,Often,Sometimes,Yes,Sometimes,No,2,Percentage discount,Rarely,Percentage discount,Very important,Yes,Diwali Sales,Maybe,Sometimes,Neutral,Yes,Strongly influences,Somewhat likely,Neutral,
